,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
278,2 BHK 1335 Sq-ft Flat,69.8 Lac,"K R Puram, Bangalore",1,2,0,1335,"5,230",Under Construction,New,22 (Out of 30 floors),None,,"Yes, 3","Go the way you always wanted to. Simply why we have designed this new project, tall, fair and square.True to every sense of the word, Green Hills is a tribute to the refined tastes and choices you make in life. Just like you don't settle for the ordinary or the run of the mill, at Green Hills, we go to any extent to make your living worthy of the stature you enjoy. Green Hills provides you dedicated green zones, all set to harmonize your way of life with nature.Unmatched living experience comes as a built-in amenity, you may consider everything else as bonus bounties.",69.8 Lac,"K R Puram, Bangalore - East, Karnataka",,,,,"35,407 per month 34.9 Lac loan for 15 years ",Jayanth
279,2 BHK 1386 Sq-ft Flat,80.2 Lac,"Haralur Road, Bangalore",1,2,0,1386,"5,790",Under Construction,New,14 (Out of 17 floors),None,,"Yes, 2","Located in Haralur, just off Sarjapur Road, Bren Imperia is an expressive example of modern architecture. With the endless list of world-class amenities, ranging from football, cricket and billiards, to meditation and rock-climbing, living here puts everyone in that weekend state of mind.",80.2 Lac,"Haralur Road, Bangalore - South, Karnataka",,,4.6% lower than the avg. price,,"40,697 per month 40.1 Lac loan for 15 years ",Arun Duggal
280,3 BHK 1726 Sq-ft Flat,92.2 Lac,"Bellandur, Bangalore",3,3,2,1726,"2,490",Ready to Move,New,2 (Out of 5 floors),None,,"Yes, 2","Sonestaa iWoods is a residential project located in Bellandur, Bangalore. The project offers elegantly-crafted residential apartments that have been designed to meet the requirements of modern families. Clubhouse, gymnasium, car parking, rain water harvesting, childrens play area and other amenities are available to make your life comfortable.",92.2 Lac,"bellandur, Bellandur, Bangalore - East, Karnataka",landmark near Play Mania,New Construction,,,"46,758 per month 46.1 Lac loan for 15 years ",Thomas
281,4 BHK Villa,1.51 Cr,"New Dawn,Sarjapur Road,Bangalore",1,4,0,2807,"5,379",Under Construction,New,,1 Covered,,No,"Bricks New Dawn is an ultimate reflection of the urban chic lifestyle located in Sarjapur, Bangalore. The project hosts in its lap exclusively designed Residential Row Houses, each being an epitome of elegance and simplicity.",1.51 Cr,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"76,577 per month 75.5 Lac loan for 15 years ",Shravanth
282,4 BHK Villa,3.55 Cr,"Wilasa,JP Nagar 9th Phase,Bangalore",4,4,0,3746,"9,477",Ready to Move,New,,None,Semi-Furnished,"Yes, 1","The Wilasa way of life can be experienced in its entirety across its brilliant outdoors and the charming indoors alike. Homes here are centrally located around a landscaped lush green area. With just 130 units spread across 5 acres, Wilasa has the highest land share per unit. Vehicular movement has been deliberately limited to the basement to provide an unpolluted space at the ground level for you to meet and socialize. Wilasa strikes a fine balance between the benefits of living in a community and the advantages of private homes.",3.55 Cr,"JP Nagar 9th Phase, Bangalore - South, Karnataka",,,,,1.5 Lac per month 1.77 Cr loan for 15 years ,Sheetal
283,Residential Plot,27.0 Lac,"Meenakshi Pearl,Hoskote,Bangalore",0,0,0,1800,,,,,None,,No,"Meenaskhi Pearl is set within greenery and nature at Malur. The project is spread across 14 acres having 212 plots with host of amenities for buyers. The development is nearing completion and the plots are ready for registration. This plotted development is ideal for investment, having every prerequisite that an ideal land investment should encompass.",27.0 Lac,"Hoskote, Bangalore - East, Karnataka",,,,,"13,693 per month 13.5 Lac loan for 15 years ",Green Earth Projects
284,2 BHK 1170 Sq-ft Flat,67.4 Lac,"Sarjapur Road, Bangalore",2,2,0,1170,"5,758",Under Construction,New,,1 Covered,,"Yes, 2","We all love to have that someone in our life who will push us to do something for our wellbeing. Someone who cares. Well, Sunny Verano does pretty much the same. Packed with most-modern amenities, Sunny Verano o ers a great space to workout, just a few steps away.",67.4 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"34,165 per month 33.7 Lac loan for 15 years ",Hemanth
285,3 BHK 1826 Sq-ft Flat,1.37 Cr,"Mysore Road, Bangalore",3,3,0,1826,"7,503",Under Construction,New,,None,,"Yes, s","Salarpuria Sattva Divinity is the brand new creation by the reputed real estate builder Salarpuria Sattva Group. The construction of Salarpuria Divinity is widely spread beyond wide 11 acres of land having most charming greeneries that is entirely spread all through till your eyes can reach. The project is offering 1 BHK, 2 BHK, 3 BHK and 4 BHK residential spaces starting from 1100 square feet. Residences here are crafted according to vastu and produces a proper air flow in every floor on the building.",1.37 Cr,"Mysore Road, Bangalore - West, Karnataka",,,18.9% higher than the avg. price,,"69,477 per month 68.5 Lac loan for 15 years ",Shamala
286,1 BHK 793 Sq-ft Flat,52.3 Lac,"Hoodi Circle, Bangalore",1,1,0,793,"6,595",Under Construction,New,6 (Out of 9 floors),None,,"Yes, 2","A premium apartments, located on Hoodi Circle, ITPL, just 6 kms from Marathahalli Junction and also you have a good connectivity to KR Puram Road & Old Airport Road as well. Raja Ritz Avenue is closely located to malls like Big Bazzar, Forum Value mall, Phoenix market city, In orbit Mall, Cosmos Mall. Meet the Ultra-modern version of the Apartments. Uber-Class Layouts, Luxury Specifications, Classy exteriors, lashed with greenery and open space. Club house with Swimming Pool, Kids outdoor and indoor play area, Health Club, Party Hall, Squash Court, Table tennis, Billiards, Basket Ball, Tennis Court, Convenient FLOOR Plan designs",52.3 Lac,"Hoodi Circle, Bangalore - East, Karnataka",,,,,"26,523 per month 26.2 Lac loan for 15 years ",Raja Housing
287,1 BHK 547 Sq-ft Flat,30.0 Lac,"Budigere, Bangalore",1,1,0,547,"5,483",Under Construction,New,,None,,"Yes, 4","The wish to own a perfect home is no more a distant dream for the commoners of the city of Bangalore. Presenting Lagoon Residences, A Pashmina Brookwoods Project- luxury homes intelligently designed by world renowned architect Hafeez Contractor. Its skillful space utilization and thoughtfully designed amenities offer a great living experience and that too at an unbelievable price. Come and experience the lifestyle which you have always wished for.",30.0 Lac,"Budigere, Bangalore - North, Karnataka",,,,,"15,209 per month 15 Lac loan for 15 years ",Vishal
288,2 BHK 885 Sq-ft Flat,45.0 Lac,"Devanahalli, Bangalore",1,2,0,885,"5,085",Under Construction,New,8 (Out of 11 floors),None,,"Yes, 2","Ideally located close to Bangalore International Airport and within short drive away from all upcoming Business, IT companies.",45.0 Lac,"Devanahalli, Bangalore - North, Karnataka",,,,,"22,821 per month 22.5 Lac loan for 15 years ",Shyam
289,1 BHK 640 Sq-ft Flat,35.1 Lac,"Yelahanka, Bangalore",1,1,0,640,"5,112",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","Vaishnavi Serene is aided with exquisite assemblage of socializing, sports and entertainment amenities which includes an integrated clubhouse, gymnasium, yoga/meditation hall, swimming pool, kid's pool, children's play area, library, imperforate parking area, round the clock security monitoring systems, landscaped garden area, joggers/walkers track, indoor outdoor sports facilities, in-house waste management facilities, rain water harvesting facility, multi- purpose halls and amphitheatre.",35.1 Lac,"Yelahanka, Bangalore - North, Karnataka",,,12.6% higher than the avg. price,,"17,800 per month 17.6 Lac loan for 15 years ",Vaishnavi
290,3 BHK 1441 Sq-ft Flat,67.9 Lac,"Sarjapur Road, Bangalore",3,3,0,1441,"4,713",Under Construction,New,,1 Covered,Unfurnished,"Yes, s","Ahad Excellencia, is a project that reflects this difference. Everything here, transforms from the average to the magnificent. All because we believe that you deserve more.",67.9 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,6.4% lower than the avg. price,,"34,444 per month 34 Lac loan for 15 years ",Akif
291,3 BHK 2019 Sq-ft Flat,78.7 Lac,"Thanisandra, Bangalore",3,2,0,2019,"3,900",Under Construction,New,,None,Unfurnished,"Yes, s","Presenting the marvelous creation which will redefine the way we perceive style and comfort. DS-MAX Skycity (19 floors luxurious apartment) is a spectacular concoction of elevated modern living and dominating lifestyle infused with finely crafted, seamless architecture for those who aspire to reach for the Sky. Start a new way of life at DS-MAX Skycity - a beautiful assortment of fine living spaces inspired by Heights, defined by Style for those who value quality lifestyle. Get inspired by the impeccable structure, thoughtfully designed indoors and high-end luxuries in 3 Bedroom flats. The location itself is so alluring as it is in close proximity to several well-known places like Manyata Tech Park, Gopalan Mall, Airport, Elements Mall, Columbia Asia Hospital, Baptist hospital, Reva Institute of Technology, Presidency College, KNS Group of Institutes, etc. to mention a few. Live the grand life at your dream home that ensures lasting joy for you and your family.",78.7 Lac,"Thanisandra, Bangalore - North, Karnataka",,,,,"39,932 per month 39.4 Lac loan for 15 years ",Nancy
292,2 BHK 1052 Sq-ft Flat,55.5 Lac,"Thanisandra Main Road, Bangalore",2,2,0,1052,"5,276",Under Construction,New,,None,,"Yes, s","Sobha Dream Gardens is a 17 acres project residential property, located in Bellahalli, on Thanisandra Road, North Bangalore, offering best in class amenities and facilities for a perfect lifestyle. The area is surrounded by well-maintained open spaces, lakes, gardens, easy access to major IT and business parks, Malls and close proximity to the Bangalore International Airport.",55.5 Lac,"Thanisandra Main Road, Bangalore - North, Karnataka",,,,,"28,146 per month 27.8 Lac loan for 15 years ",Sobha
293,3 BHK 2098 Sq-ft Flat,1.38 Cr,"Whitefield, Bangalore",3,3,0,2098,"6,578",Under Construction,New,,1 Covered,Unfurnished,"Yes, 2","Move to WF 48 and stay close to all the action with an address in the most happening location, Whitefield. Be spoilt with the convenience and choice, living right next door to two of Bengaluru's biggest malls.",1.38 Cr,"Whitefield, Bangalore - East, Karnataka",,,9.6% lower than the avg. price,,"69,984 per month 69 Lac loan for 15 years ",Suguna
294,2 BHK 1345 Sq-ft Flat,89.0 Lac,"Mysore Road, Bangalore",2,2,0,1345,"6,617",Under Construction,New,,1 Covered,,"Yes, 2","Pride Enchanta is a G plus 13 floor apartment project with unique 2, 3 BHK apartments in 4 magnificent Towers in 2 phases .Pride Enchanta is built in an area of land measuring around 4 Acre 23 Guntas with only 430 apartments aesthetically carved for individual comfort. It has Ample Residential Car Park facility in the basement and Stilt level with a separate Visitors Car Park in the Ground Floor with host of amenities. Phase I is getting ready for delivery in the Dec 2017. Phase II will be ready by Dec 2019.",89.0 Lac,"Mysore Road, Bangalore - West, Karnataka",,,4.4% higher than the avg. price,,"45,135 per month 44.5 Lac loan for 15 years ",Pride Group
295,3 BHK Villa,1.44 Cr,"Zen Gardens,Hebbal,Bangalore",3,3,0,1768,"8,145",Under Construction,New,,None,Unfurnished,"Yes, s","Luxurious gated row houses located in Hebbal, the property is created through an artful arrangement of concrete, glass and green close to prestigious schools, colleges, hospitals close proximately to Manyata Tech Park and the airport.",1.44 Cr,"Hebbal, Bangalore - North, Karnataka",,,,,"73,027 per month 72 Lac loan for 15 years ",Avinash
296,3 BHK 1636 Sq-ft Flat,89.5 Lac,"JP Nagar Phase 8, Bangalore",3,3,2,1636,"8,999",Ready to Move,New,3 (Out of 8 floors),1 Covered,,"Yes, 2","Project is in the heart south Bangalore, JP Nagar 8th phase, adjacent to the NICE corridor which connects Bannerghatta Road, Kanakapura Road and Electronic City",89.5 Lac,"Arya Hamsa Grande flat no 301 3rd floor JP Nagar bangalore, JP Nagar Phase 8, Bangalore - South, Karnataka",nearby sbi bank,,,,"45,388 per month 44.8 Lac loan for 15 years ",Mary
297,2 BHK 955 Sq-ft Flat,38.9 Lac,"Hosa Road, Bangalore",2,2,0,955,"4,073",Under Construction,New,4 (Out of 5 floors),None,,"Yes, 1","Trillium offers you aesthetically designed apartments consisting of spacious rooms radiating class and elegance. Our modern amenities and ambience ensure you get a holistic experience and a plush lifestyle. Located off Hosa road, your workplace is right in your neighbourhood giving you the luxury of quality time. So no more stress of traffic and more time for family and interests. With excellent educational institutions and major hospitals in the vicinity, Trillium proves to be an invaluable asset.",38.9 Lac,"Hosa Road, Bangalore - South, Karnataka",,,,,"19,727 per month 19.5 Lac loan for 15 years ",Ankanath
298,2 BHK 1040 Sq-ft Flat,69.1 Lac,"Thanisandra Main Road, Bangalore",2,2,0,1040,"6,644",Under Construction,New,,None,,"Yes, s","Your one of a kind home is here. Look out of your window and what do you see. Wide-open spaces, traffic-free roads and landscapes awash with colour. If you thought you were moving to a city, think again. This is more than a city. Take a village and turn it on its head, literally. Your new home belongs to a vertical village. A place where neighbours are more like friends and communal areas are just that. You are part of a community. This is village life for modern times.Your Nikoo home is at the very heart of it all. Designed by the brightest, built by the smartest and lived in by you. Step out onto your private terrace and enjoy the view. Rustle up your favourite meal in your handcrafted Italian kitchen. With easy access to the Sky Gardens and the chic Black Swan Clubhouse, youre always at the very hub of Nikoos activity. Contemporary, customisable and intelligently designed. Your new Nikoo home is waiting.",69.1 Lac,"Thanisandra Main Road, Bangalore - North, Karnataka",,,18.7% higher than the avg. price,,"35,043 per month 34.6 Lac loan for 15 years ",shailendra tatia
299,Residential Plot,31.2 Lac,"Adonis,Devanahalli,Bangalore",0,0,0,1250,,,,,None,,No,"Adonis a world class township spread across 27 acres of land with 408 Plots, 5.2 acres of Open Greenery in the Residential project. Affordable cost with all approvals and Ready for Registration.",31.2 Lac,"Devanahalli, Bangalore - North, Karnataka",,,,,"15,842 per month 15.6 Lac loan for 15 years ",42 Estates
300,4 BHK Villa,3.08 Cr,"LGCL New Life,Sarjapur Road,Bangalore",4,4,0,3026,"10,178",Under Construction,New,,None,Unfurnished,Yes,"Inspired by the principles and aesthetics of traditional Balinese architecture, this novel venture promises you your own slice of paradise. Located just offÃ??Ã?Â¬ Sarjapur Road, LGCL New Life is a respite from the raucous, polluted and busy city life with its lush green landscapes, graceful water bodies and captivating design. A serene and secluded community forms the premise for 108 exquisite yet eco-friendly villas.",3.08 Cr,"Sarjapur Road, Bangalore - East, Karnataka",,,,,1.5 Lac per month 1.54 Cr loan for 15 years ,Ganesh
301,3 BHK 1494 Sq-ft Flat,1.07 Cr,"Mahadevapura, Bangalore",3,2,0,1494,"7,162",Under Construction,New,,None,,"Yes, 3","DNR Casablanca - an urban living experience of multi-storied twin tower apartments, strategically located amidst the vibrancy in Mahadevapura, Whitefield Main Road.It is just around the corner from shopping, restaurants, recreation and a short walk to work or your child's school. A Casablanca resident will have the luxury of a timely commute with just a walk.",1.07 Cr,"Mahadevapura, Bangalore - East, Karnataka",,,10.7% higher than the avg. price,,"54,263 per month 53.5 Lac loan for 15 years ",Jayashree
302,3 BHK 1718 Sq-ft Flat,88.6 Lac,"Kanakapura Road, Bangalore",1,3,0,1718,"5,158",Under Construction,New,3 (Out of 3 floors),None,,"Yes, 2","At Amber Woods, living luxuriously comes easy. It provides all modern amenities, each thoughtfully planned to make every day living an experience to cherish. Amber Woods includes a club house with swimming pool, covered car parking, fully equipped gym, childrens play area, jogging track, power backup to each flat, rain water harvesting, door video calling security system, and granite flooring for all common areas.",88.6 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"44,942 per month 44.3 Lac loan for 15 years ",Anupam Mishra
303,3 BHK 1865 Sq-ft Flat,1.15 Cr,"Jakkur, Bangalore",3,3,0,1865,"6,166",Under Construction,New,,None,Unfurnished,"Yes, s","Welcome to Century Breeze --Conveniently located off BIAL Road, Century Breeze boasts a unique feature that sets it apart from other apartment complexes the homes only occupy 25% of the total property. This ensures that there is a large area of wide open spaces that you will love to explore, because we have furnished this verdant paradise with state-of-the-art amenities. Century Builders under constructing the dream project in the naming of Century Breeze in Jakkur, North Bangalore. Apartment has 2, 3 and 3.5 BHK luxurious apartments.",1.15 Cr,"Jakkur, Bangalore - North, Karnataka",,,7.2% higher than the avg. price,,"58,320 per month 57.5 Lac loan for 15 years ",Prime Homes
304,3 BHK 1860 Sq-ft Flat,1.19 Cr,"Whitefield, Bangalore",3,4,0,1860,"6,426",Ready to Move,New,,2 Covered,Unfurnished,"Yes, s","Located in Whitefield, Bangalore, the Umiya Woods offers easy connectivity to Hypercity, Forum Value Mall, Apollo Clinic, Sri Sathya Sai Hospital, Sigma Technology Park, Inorbit, Ascendas Park Square etc. The society is equipped with 3BHK apartments that are spread across the total area of 1700 sqft. and are equipped with 3 bedrooms and 3 bathrooms.Meet Umiya Group at India Property Fair, Singapore on 28th & 29th Oct'17PARK ROYAL , KITCHENER ROAD, Emerald Ballroom 111 00 AM TO 7 00 PM",1.19 Cr,"Whitefield, Bangalore - East, Karnataka",,,12.1% higher than the avg. price,,"60,616 per month 59.8 Lac loan for 15 years ",Ajay Achpal
305,3 BHK Villa,1.07 Cr,"Aster,Devanahalli,Bangalore",3,3,0,2148,"4,981",Under Construction,New,,None,,"Yes, s","The project is a residential development, villas that are new in design. This tranquil residential layout offers 49 Villas, with full-fledged amenities and much more. Just blocks away from NH44 and 15 minutes from International Airport, this project at Devanahalli (the developing strip of Bangalore) offers everything anyone has desired for.",1.07 Cr,"Devanahalli, Bangalore - North, Karnataka",,,62.6% lower than the avg. price,,"54,263 per month 53.5 Lac loan for 15 years ",Aster
306,1 BHK 920 Sq-ft Flat,48.1 Lac,"Electronics City Phase 1, Bangalore",1,1,0,920,"5,228",Ready to Move,New,,None,Unfurnished,"Yes, s","MJR Clique Signature Apartments is located idyllically on Neo Town Road in Electronics City Phase-I housing umpteen IT companies. Comfortably connected and shares close proximity to Educational Institutions, Hospitals and Social Infrastructures. Signature apartments is a residential retreat your family has been longing to discover, offering a unique lifestyle that you will love with the best design features that will put your Signature on your lifestyle. Come and experience the Signature Lifestyle and show your friends what living well is all about, as it is a perfect balance of peaceful serenity and modern convenience.",48.1 Lac,"Electronics City Phase 1, Bangalore - South, Karnataka",,,,,"24,393 per month 24.1 Lac loan for 15 years ",Swetha
307,Residential Plot,27.1 Lac,"NBR Hills View,Nandi hills,Bangalore",0,0,0,1200,,,,,None,,No,"It is everyone's ardent desire to stay far from the madding crowd, especially when lives in a happening metro like Bangalore. It is great to enjoy the hustle bustle of the city life for most of the day but, when you retire for the day, it is peace and quiet that you long for. You get all of this and much more with NBR Hills View.",27.1 Lac,"Nandi Hills, Bangalore, Nandi hills, Bangalore - North, Karnataka",,,,,"13,743 per month 13.6 Lac loan for 15 years ",GR Devendranath
308,2 BHK 86 Sq-m Flat,58.3 Lac,"Mysore Road, Bangalore",2,2,0,86,,Ready to Move,New,,None,Unfurnished,No,"Our dream home. Paid for with late nights, sweat and sacrifice. This is your prize for building up a business one customer at a time. Nurturing a family one heartbeat at a time. This is your temple of tranquility, your reward and deservedly so. Welcome to Princeville. Where a forty-acre green carpet becomes a gorgeous backdrop to your home. Where the coconut grove gently whispers secrets of a better life while you stretch your legs by the Kengeri lake. A gym, a convenience store, with easy access to the metro, a few-minute walk to the Global Tech Village SEZ, and a host of schools, malls and hospitals in the nearby vicinity for those rare times when you want to step out of your private kingdom. With just four apartments per floor, no common walls and apartments unobstructed on all four sides, you're assured discreet privacy, majestic views and soothing ventilation. Above prices are all inclusive expect registration.",58.3 Lac,"Mysore Road, Bangalore - West, Karnataka",,,,,"29,566 per month 29.2 Lac loan for 15 years ",Roshan
309,2 BHK 656 Sq-ft Flat,19.2 Lac,"Attibele, Bangalore",2,2,0,656,"2,927",Ready to Move,New,,None,Unfurnished,"Yes, s","Janaadhar Shubha is promoted by Janaadhar India Pvt. Ltd., a company dedicated to providing well designed, high quality homes at a budget. The company is part of the Jana group of companies and headed by Mr.Ramesh Ramanathan, a very well known social entrepreneur. Planned as a budget housing solution, Janaadhar Shubha is being developed on an 11.5 acres plot on the Attibele-Anekal Road, on the outskirts of Bangalore city. Located close to several of the city's major industrial belts, the township consists of 1128 apartments. The apartments, which are open from 3 sides, are a true testament to design efficiency and superior planning, applied for the first time in the area of budget housing.Cluster 1- PR000313Cluster 2- PR000337Cluster 3- PR000353",19.2 Lac,"Attibele, Bangalore - Anekal, Karnataka",,,,,"9,737 per month 9.6 Lac loan for 15 years ",Janaadhar (India) Pvt. Ltd.
310,3 BHK 1452 Sq-ft Flat,84.2 Lac,"Whitefield, Bangalore",2,2,0,1452,"5,799",Under Construction,New,2 (Out of 14 floors),None,,"Yes, 2","Located at Hoodi Circle, Opp. Zuri, Bangalore, Dsr Infra Lotus Towers is where stress unheard of. Located in a prime residential and commercial area, this project is where life ceases to be mere existence, and attains the form of a celebration.",84.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,5.5% lower than the avg. price,,"42,701 per month 42.1 Lac loan for 15 years ",Narayana
311,2 BHK 1190 Sq-ft Flat,48.0 Lac,"Mysore Road, Bangalore",2,2,0,1190,"4,034",Under Construction,New,8 (Out of 15 floors),None,,"Yes, 2","Meda Greens has 2 and 3 BHK Luxury Apartments located on Mysore Highway, Bangalore Near R.V College of Engg. Each apartment in Meda Greens has individually designed to ensure maximum ventilation, comfort and optimally sized to provide you with a tranquil life. It is located less than 2.5 km from Global Village Tech Park, Bangalore University, RV Engineering College, BGS Global Hospital, Metro Station, and Gopalan mall. Provides one of the best connectivity across Bangalore as is 4 KMS from Outer Ring Road, 2 Kms from Nice Ring Road.",48.0 Lac,"Mysore Road, Bangalore - West, Karnataka",,,,,"24,342 per month 24 Lac loan for 15 years ",Sandip
312,2 BHK 1399 Sq-ft Flat,92.2 Lac,"Marathahalli, Bangalore",2,2,0,1399,"6,590",Ready to Move,New,14 (Out of 14 floors),1 Covered,,"Yes, 2","Durga Petals stands tall in the midst of swanky malls, prestigious restaurants, reputed Indian and International Schools, train stations, natural lakes, and the most important of all, it's right in the centre of Marathahalli's IT corridor. Petals gives you the freedom to choose from among seemingly endless options. Pick between 2, 2.5 or 3 BHK; drive to your office or log in from our Work-from-home Cubicle Spaces; dip your feet in the Open Pool or the Semi-covered Temperature-controlled one; take a walk in the park or tryst with the Barbecue Grill. The 13 luxurious towers soar upwards, mirroring your urban aspirations. Adding to that is an expansive clubhouse with carefully thought out amenities like a Day-care for children, Party Hall and more.",92.2 Lac,"Marathahalli, Bangalore - East, Karnataka",,,5.8% lower than the avg. price,,"46,755 per month 46.1 Lac loan for 15 years ",Durga Projects
313,2 BHK 1070 Sq-ft Flat,46.0 Lac,"Whitefield, Bangalore",2,2,0,1070,"4,199",Ready to Move,New,13 (Out of 14 floors),None,,"Yes, s","An address to lifestyle BOLLINENI SILAS is a premium residential development within a 10 acres layout comprising of 650 plus Apartments. This gated community is located on Belathur Main road, Sadarmangala, Whitefield, Bangalore with fantastic connectivity to the surrounding MNC's, Education, Hospitals and Shopping Malls.  Quality Construction BSCPL Infrastructures is one of the largest infrastructure company in India carrying the finest civil engineering experience of 43 years. BSCPL Infrastructure is involved in a range of infra projects (Roads, Airport works, Bridges, Building construction, Irrigation and Railway freight corridor works), Real estate and Health care. The company has taken up Real Estate development projects in DUBAI, HYDERABAD, CHENNAI, and BENGALURU.",46.0 Lac,"Whitefield, Bangalore - East, Karnataka",,,11.1% lower than the avg. price,,"23,328 per month 23 Lac loan for 15 years ",Ajay Kumar
314,3 BHK 1366 Sq-ft Flat,87.2 Lac,"Whitefield, Bangalore",3,3,0,1366,"6,384",Under Construction,New,,None,,"Yes, s","Here's to the ones who've found their space, their own relaxed air, and the natural calm that only comes with feeling perfectly at home.",87.2 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"44,222 per month 43.6 Lac loan for 15 years ",Muthanna
315,Residential Plot,78.0 Lac,"Canterbury Castles,Nandi hills,Bangalore",0,0,0,4000,,,,,None,,No,This plot has hedge lining on the peripheries. It is located against the picturesque backdrop of Nandi Hill. It is an hours drive from the heart of Bangalore city and near Bangalore International Airport. It has fruit and flower bearing plants and resourceful trees. It has un-interrupted power supply and separate feeder connected at the Sub Station. South-Wes facing.,78.0 Lac,"Nandi hills, Bangalore - North, Karnataka",,,,,"39,556 per month 39 Lac loan for 15 years ",Rihanna
316,2 BHK 1015 Sq-ft Flat,50.8 Lac,"Kogilu, Bangalore",2,2,0,1015,"5,000",Under Construction,New,,1 Open,,"Yes, 1","GVSPL Gardens is an unmatched residential property located in Kogilu, Bangalore. The project offers plenty of benefits that include prime location, comfortable and lavish lifestyle, great amenities, healthy surroundings and high returns.",50.8 Lac,"Kogilu, Bangalore - North, Karnataka",,,,,"25,737 per month 25.4 Lac loan for 15 years ",Deepthi GVSPL
317,3 BHK 1757 Sq-ft Flat,1.04 Cr,"Sahakara Nagar, Bangalore",3,2,0,1757,"5,919",Ready to Move,New,,1 Covered,Unfurnished,"Yes, 2","Alpine Pyramid is a latest premium apartment township, proudly announced by Alpine Housing Developement Corporation Ltd. Alpine Pyramid, in Sahakarnagar, is set in natural, move with a smooth, wave-like lush green valley landscape by premium 2 BHK and 3 BHK flats sprawled across 08 acres of total land. The Alpine Pyramid Bangalore is designed by clusters with a green open courtyard style green patch, where the perfect place to catch up on the lives of neighbours, chat and build a friendly community. The project comes with giving a feel of greenery and fresh air, with jogging trail, green lawns, recreational parks and misty mornings.",1.04 Cr,"Sahakara Nagar, Bangalore - North, Karnataka",,,1.9% higher than the avg. price,,"52,742 per month 52 Lac loan for 15 years ",Alpine Housing
318,3 BHK 1365 Sq-ft Flat,48.0 Lac,"K R Puram, Bangalore",3,2,0,1365,"3,516",Under Construction,New,,1 Covered,,"Yes, 2","Welcome to ASN Serenity, the quintessence of urban luxury. Wrapped in verdant greenery, the iconic form and proportionate scale of ASN Serenitys residential community create a spectacular sight to behold. Taking leisurely living to a wholly new altitude is the glorious setting thats replete with idyllic charm, serene atmosphere and trendy vibe.",48.0 Lac,"K R Puram, Bangalore - East, Karnataka",,,,,"24,342 per month 24 Lac loan for 15 years ",Siva Kumar
319,Residential Plot,24.0 Lac,"Celebrity Prime Eco Front,Jigani,Bangalore",0,0,0,1500,,,,,None,,No,Luxury Villas Plots in Gated Community for sale near Electronic City.,24.0 Lac,"Jigani, Bangalore - Anekal, Karnataka",,,,,"12,164 per month 12 Lac loan for 15 years ",Siddharth
320,4 BHK 2107 Sq-ft Flat,1.0 Cr,"Hoodi, Bangalore",4,4,0,2107,"4,750",Under Construction,New,,None,,No,"We Challenge. You Can't Find A Home In East Bengaluru For This Price! Casagrand Royce, 1, 2, 3 & 4 BHK apartments at Hoodi Junction, Just 10 mins from Whitefield & 5 mins from Hoodi Metro",1.0 Cr,"Hoodi, Bangalore - East, Karnataka",,,2.2% higher than the avg. price,,"50,755 per month 50 Lac loan for 15 years ",Gautam
321,2 BHK 943 Sq-ft Flat,33.3 Lac,"Sarjapur, Bangalore",2,2,0,943,"3,531",Ready to Move,New,,None,Semi-Furnished,No,"Urban Eco Space is one of the residential development of Inner Urban Infraestate, located in Bangalore. It offers spacious and skillfully designed apartments. The project is well equipped with all modern amenities and 24 x 7 security service to facilitate the needs of the residents.",33.3 Lac,"Sarjapur, Bangalore - South East, Karnataka",,,,,"16,888 per month 16.7 Lac loan for 15 years ",Vishwanath
322,Residential Plot,75.9 Lac,"Pionier Lifestyle,Sarjapur Road,Bangalore",0,0,0,1650,,,,,None,,No,"Pionier Developers are proud to present to you Pionier LifeStyle our flagship project and the BDA Approved Gated Community in Off Sarjapur Road Bangalore ever. A premium residential layout development located close to HSR, off Sarjapur Road, Bangalore. The 8 acres of the expansive, BDA approved premium development is set to launch in May 2018. Pionier LifeStyle Offers 107 Villa Plots set within eight acres of landscaped area with a host of modern amenities. Inspired by Bangalore's old world charm with sprawling spaces in the lap of luxury, Pionier LifeStyle promises to offer luxury living with a contemporary lifestyle",75.9 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,,,"38,483 per month 37.9 Lac loan for 15 years ",Manjunath Rao
