,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
20,2 BHK 1290 Sq-ft Flat,64.3 Lac,"Kaggadasapura, Bangalore",2,2,0,1290,"4,984",Ready to Move,New,4 (Out of 4 floors),1 Covered,,"Yes, 2","Home is deepest desires with valued features, Welcome to Mathapathi Brundaavan Apartment which is comfortably nestled in the heart of two worlds old and new Bangalore, offering a diverse living experience completely at your fingertips, enjoying all the qualities of full-fledged apartments, While being superbly supported by an additional strong network of immediately accessible amenities, such as like transport links, traditional and new culinary experiences, Top notch Schools, as well as recreational leisure and lifestyle abundance.",64.3 Lac,"Kaggadasapura, Bangalore, Kaggadasapura, Bangalore - East, Karnataka",,,,,"32,609 per month 32.2 Lac loan for 15 years ",Mathapathi
21,3 BHK 187 Sq-m Flat,92.9 Lac,"JP Nagar Phase 5, Bangalore",3,2,0,187,,Under Construction,New,,None,,"Yes, t","R Mountrose Apartment is a brainchild of R Steel & Cement, that long tradition to meet and exceed the expectations of the End user and customers. The project consist of 30 units of 2 and 3 BHK flats that are beautifully crafted for maximum space utilization and comfort of the occupants. Situated in prime location of JP Nagar 5th Phase, we are proud to provide you the impeccable amenities. This property has access from North and South sides hence making it extremely accessible. Our in-house Interior designing experts will help you with variety of interior design options. Our focus is in Building and Developing Residential space to enhance the Quality of lives of the occupants. We have successfully delivered several Residential projects, and continue to be in a progressive mode of developing buildings.",92.9 Lac,"JP Nagar Phase 5, Bangalore - South, Karnataka",,,,,"47,113 per month 46.5 Lac loan for 15 years ",Ali
22,2 BHK 1140 Sq-ft Flat,59.4 Lac,"Kanakapura Road, Bangalore",2,2,0,1140,"5,211",Under Construction,New,4 (Out of 5 floors),None,,"Yes, 2","Value Plus is one of the most valuable projects by MV Varja Developers, located at Anjanapura Main road, Off Kanakapura Road, Bangalore.Its a project with perfect proposition of Quality, Technology and Comfort. It is our pleasure to welcome you to Value Plus, where a Super Luxury Spacious range of 2, 2 .5 and 3 BHK apartment awaits to grant you Ownership of a whole new residential address soon you buy one.",59.4 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"30,124 per month 29.7 Lac loan for 15 years ",Shiva Kumar
23,2 BHK 1151 Sq-ft Flat,46.7 Lac,"Budigere Cross, Bangalore",2,2,0,1151,"4,057",Under Construction,New,,1 Covered,,"Yes, 2","Presenting KSR Basil. One of East Bengaluru's most desirable residential project. Just a 30 minute drive to Whitefield, Basil is home to an active lifestyle that one misses in the chaos of the CBD. With wide open spaces, a host of amenities and wide uncluttered surrounding around the project, Basil will lend new life experiences to you and your family while still being close to all that matters.",46.7 Lac,"Budigere Cross, Bangalore, Karnataka",,,,,"23,683 per month 23.4 Lac loan for 15 years ",Adarsh Mohan
24,3 BHK Villa,98.0 Lac,"NVT Mystic Garden,Sarjapur-Attibele Road,Bangalore",3,3,0,1940,"5,052",Under Construction,New,,None,,No,"NVT Mystic Garden, an exclusive villa community set amidst expansive open spaces - where the mystic of nature, thoughtfulness in design, obsession to quality and superior workmanship - all create a confluence of lifestyle that has no equal. Owning a home here is nothing less than gifting yourself an experience of a lifetime.",98.0 Lac,"Sarjapur-Attibele Road, Bangalore - East, Karnataka",,,1.5% lower than the avg. price,,"49,699 per month 49 Lac loan for 15 years ",Shilpa
25,3 BHK 1490 Sq-ft Flat,82.0 Lac,"Kanakapura Road, Bangalore",3,3,0,1490,"5,500",Under Construction,New,,None,Unfurnished,"Yes, s","Krishna Gardenia Is a BBMP Approved 2 & 3 BHK Residential Apartment located at, Raghuvanahalli off Kanakapura Main Road. ""Krishna Gardenia"" is more than a home, it's a happy community. There is nothing more satisfying than the Convenience of accessibility to a Metro Rail station while enjoying rapid growth & appreciation around you.",82.0 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"41,560 per month 41 Lac loan for 15 years ",Prateeth Rai
26,4 BHK Villa,2.04 Cr,"9 Forum,Electronic City,Bangalore",1,4,0,2845,"7,200",Ready to Move,New,,1 Covered,Unfurnished,No,"An Exclusive Uber Villa Project Approved By BDA, Landscape Design By BDP London & Sparkling Glass World Class Clubh",2.04 Cr,"Electronic City, Bangalore - South, Karnataka",,,,,1 Lac per month 12 Cr loan for 15 years ,Pavitra
27,3 BHK 1530 Sq-ft Flat,71.9 Lac,"Kanakapura Road, Bangalore",3,3,0,1530,"4,699",Ready to Move,New,,None,Unfurnished,"Yes, s","Hills View Meadows is located close to the newly formed 80 feet road connecting Kanakapura Highway and only few minutes away from the renowned schools like National Public School (NPS), hospitals like BGS Global and grocery super stores like Metro Cash and Carry.The location is selected to make it convenient to lead a soothing life with huge greenery of permanent Thurahalli forest reserve views in the front and situated in the middle of the fastest growing south Bangalore BDA layout. This will be next the next posh neighbourhood like Jayanagar or Koramangala with one of the biggest BDA layouts having wide roads, water, electricity and beautiful parks. A rarest opportunity to own a spacious home in a BDA layout at an investment that you can never imagine. Uniquely designed with at most attention to natural light, comfortable living along with highest quality of construction.",71.9 Lac,"Kanakapura Road, Bangalore - South, Karnataka",,,,,"36,463 per month 36 Lac loan for 15 years ",Venkat
28,Residential Plot,46.5 Lac,"Aditya Palm Grove,Devanahalli,Bangalore",0,0,0,144,,,,,None,,No,"Everything about Aditya Palm Grove works to perfection. Built as a gated community with an impressive entry plaza, the layout is lined with trees, shaded avenues, gardens and parks. From cabling to security, infrastructure at every level is silken smooth. As for amenities, indulge in the joys of a clubhouse, swimming pool and Yoga room. There are dedicated spaces for indoor games and festive celebrations.",46.5 Lac,"Devanahalli, Bangalore - North, Karnataka",,,,,"23,582 per month 23.3 Lac loan for 15 years ",Noorulla
29,3 BHK 1253 Sq-ft Flat,78.3 Lac,"Amrutahalli, Bangalore",1,3,0,1253,"6,249",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","Trendsquares Ortus is a residential development in Amruthahalli, Bangalore. The project is built by Trendsquares Constructions. They provide skilfully designed apartment and apartments with all necessities. It is approved by Karnataka RERA.",78.3 Lac,"Amrutahalli, Bangalore - North, Karnataka",,,,,"39,709 per month 39.2 Lac loan for 15 years ",Gowtham
